SingleThreaded_cpu,SingleThreaded_wall,SingleThreadedSimd_cpu,SingleThreadedSimd_wall,OpenMP_cpu,OpenMP_wall,OpenMPSimd_cpu,OpenMPSimd_wall,Cuda_cpu,Cuda_wall,CudaSimd_cpu,CudaSimd_wall,OpenCL_cpu,OpenCL_wall
3.34261e+06,3.3437e+06,859986,859993,7.58674e+06,949439,1.45166e+06,181918,76115,76202,79423,79520,87346,87320
3.3429e+06,3.34354e+06,859770,859770,7.60904e+06,952098,1.44995e+06,181645,76125,76211,79475,79563,87281,87264
3.34281e+06,3.34361e+06,859447,859454,7.60479e+06,951710,1.45006e+06,181661,76057,76129,79405,79481,87190,87174
3.34311e+06,3.34428e+06,859119,859124,7.60556e+06,951519,1.4518e+06,181226,76614,76688,79547,79622,87131,87114
3.34309e+06,3.34388e+06,859651,859652,7.61273e+06,952597,1.44971e+06,181615,76128,76193,79551,79627,87140,87128
3.34262e+06,3.34345e+06,859384,859388,7.63138e+06,954600,1.45092e+06,181772,76057,76142,79500,79580,87146,87134
3.34325e+06,3.34422e+06,859535,859538,7.7805e+06,973724,1.46027e+06,182536,76032,76107,79446,79527,87198,87182
3.34226e+06,3.34301e+06,859246,859247,7.77714e+06,973231,1.46604e+06,183416,75990,76070,79527,79604,87019,87014
3.34205e+06,3.34288e+06,859275,859276,7.78052e+06,973271,1.44797e+06,181251,75996,76085,79370,79446,87147,87120
3.34216e+06,3.34308e+06,859437,859443,8.09339e+06,1.01318e+06,1.45959e+06,182431,76094,76180,79443,79521,87103,87086
3.34252e+06,3.34341e+06,859634,859640,8.24062e+06,1.03155e+06,1.4611e+06,182648,76008,76074,79478,79565,87176,87169
3.34234e+06,3.34332e+06,859294,859295,7.52466e+06,941614,1.45185e+06,181904,76040,76119,79511,79590,87121,87105
3.34314e+06,3.34412e+06,859311,859311,7.59985e+06,950752,1.46077e+06,182655,76091,76174,79551,79630,88154,88137
3.34093e+06,3.34205e+06,859446,859453,7.59477e+06,950518,1.45252e+06,181922,76057,76142,79532,79607,87099,87082
3.34223e+06,3.34328e+06,859339,859342,7.61619e+06,952428,1.45897e+06,182347,75962,76036,79354,79429,87117,87094
3.34181e+06,3.34284e+06,859416,859415,7.6144e+06,952803,1.45298e+06,182081,76339,76514,79435,79520,87120,87113
3.34096e+06,3.34176e+06,859264,859277,7.6178e+06,953228,1.45983e+06,182470,76148,76235,79500,79574,87221,87207
3.34217e+06,3.34336e+06,860075,860075,7.62771e+06,954153,1.45483e+06,182325,76035,76112,79467,79542,87126,87120
